time,temperature
1736596800,21.9
1736600400,22.2
1736604000,21.9
1736607600,21.6
1736611200,21.6
1736614800,21.4
1736618400,21.4
1736622000,20.8
1736625600,20.7
1736629200,20.6
1736632800,20.5
1736636400,20.1
1736640000,22.0
1736643600,24.0
1736647200,25.1
1736650800,26.7
1736654400,28.1
1736658000,27.9
1736661600,27.1
1736665200,27.3
1736668800,26.1
1736672400,25.3
1736676000,24.6
1736679600,23.5
1736683200,22.3
1736686800,22.5
1736690400,22.3
1736694000,21.6
1736697600,21.6
1736701200,21.4
1736704800,20.5
1736708400,20.5
1736712000,20.3
1736715600,20.4
1736719200,20.3
1736722800,20.0
1736726400,22.1
1736730000,23.4
1736733600,25.4
1736737200,26.3
1736740800,27.5
1736744400,26.6
1736748000,27.6
1736751600,26.0
1736755200,24.9
1736758800,24.2
1736762400,24.0
1736766000,23.4
1736769600,22.6
1736773200,22.0
1736776800,22.2
1736780400,22.2
1736784000,22.0
1736787600,21.6
1736791200,21.2
1736794800,20.7
1736798400,20.5
1736802000,19.7
1736805600,19.8
1736809200,19.7
1736812800,21.7
1736816400,23.4
1736820000,24.6
1736823600,25.7
1736827200,25.4
1736830800,26.1
1736834400,24.7
1736838000,24.0
1736841600,23.3
1736845200,23.4
1736848800,23.4
1736852400,22.9
1736856000,22.4
1736859600,21.6
1736863200,21.5
1736866800,21.4
1736870400,21.4
1736874000,21.4
1736877600,21.3
1736881200,21.4
1736884800,21.1
1736888400,20.7
1736892000,20.4
1736895600,20.7
1736899200,21.7
1736902800,22.9
1736906400,24.9
1736910000,26.5
1736913600,27.3
1736917200,27.2
1736920800,27.6
1736924400,26.4
1736928000,25.0
1736931600,24.3
1736935200,24.0
1736938800,23.2
1736942400,22.5
1736946000,24.3
1736949600,23.5
1736953200,23.1
1736956800,22.7
1736960400,21.9
1736964000,21.4
1736967600,20.9
1736971200,20.9
1736974800,20.9
1736978400,20.9
1736982000,21.0
1736985600,22.1
1736989200,23.4
1736992800,25.2
1736996400,26.6
1737000000,27.3
1737003600,26.0
1737007200,26.1
1737010800,25.9
1737014400,25.6
1737018000,25.0
1737021600,24.6
1737025200,24.0
1737028800,23.5
1737032400,22.5
1737036000,22.3
1737039600,22.2
1737043200,22.1
1737046800,21.8
